Apoapsis,980km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
146.2,0,2067.99,4,0.49,14.54,2.39,84589.25,151457.82,127.82,-5922346.94,1,False,2,29,
146.96,0,2038.91,4,0.49,14.29,2.3,85386.66,152457.79,128.21,-5913092.43,1,False,2,29,
147.72,0,2009.83,4,0.48,14.05,2.21,86183.99,153451.55,128.61,-5903710.27,1,False,2,29,
148.48,0,1980.75,4,0.48,13.81,2.12,86981.21,154439.18,128.99,-5894199.25,1,False,2,29,
149.24,0,1951.69,4,0.48,13.57,2.03,87778.24,155420.71,129.38,-5884558.16,1,False,2,29,
150,0,1922.63,4,0.47,13.33,1.95,88575.04,156396.18,129.76,-5874785.78,1,False,2,29,
150.76,0,1893.58,4,0.47,13.1,1.87,89371.56,157365.63,130.15,-5864880.88,1,False,2,29,
151.52,0,1864.53,4,0.46,12.86,1.8,90167.74,158329.11,130.53,-5854842.25,1,False,2,29,
152.28,0,1835.5,4,0.46,12.63,1.72,90963.53,159286.63,130.9,-5844668.65,1,False,2,29,
153.04,0,1806.47,4,0.46,12.41,1.65,91758.89,160238.23,131.28,-5834358.87,1,False,2,29,
153.8,0,1777.45,4,0.45,12.18,1.58,92553.76,161183.92,131.65,-5823911.65,1,False,2,29,
154.56,0,1748.43,4,0.45,11.96,1.51,93348.09,162123.73,132.02,-5813325.73,1,False,2,29,
155.32,0,1719.43,4,0.44,11.74,1.45,94141.83,163057.69,132.39,-5802599.86,1,False,2,29,
156.08,0,1690.43,4,0.44,11.53,1.39,94934.94,163985.82,132.76,-5791732.73,1,False,2,29,
156.84,0,1661.43,4,0.44,11.31,1.33,95727.37,164908.18,133.13,-5780722.89,1,False,2,29,
157.6,0,1632.45,4,0.43,11.1,1.27,96519.07,165824.8,133.5,-5769568.95,1,False,2,29,
158.36,0,1603.47,4,0.43,10.89,1.22,97309.99,166735.71,133.86,-5758269.57,1,False,2,29,
159.12,0,1574.5,4,0.42,10.68,1.16,98100.09,167640.95,134.23,-5746823.41,1,False,2,29,
159.88,0,1545.54,4,0.42,10.48,1.11,98889.33,168540.55,134.59,-5735229.16,1,False,2,29,
160.64,0,1516.59,4,0.42,10.27,1.06,99677.65,169434.57,134.96,-5723485.48,1,False,2,29,
161.4,0,1487.64,4,0.41,10.07,1.01,100465.01,170323.03,135.32,-5711591.04,1,False,2,29,
162.16,0,1458.7,4,0.41,9.87,0.96,101251.38,171205.95,135.68,-5699544.55,1,False,2,29,
162.92,0,1429.76,4,0.41,9.68,0.92,102036.7,172083.36,136.04,-5687344.68,1,False,2,29,
163.68,0,1400.84,4,0.4,9.48,0.88,102820.94,172955.29,136.41,-5674990.18,1,False,2,29,
164.44,0,1371.92,4,0.4,9.29,0.83,103604.05,173821.74,136.77,-5662479.84,1,False,2,29,
165.2,0,1343.01,4,0.4,9.1,0.79,104385.99,174682.64,137.13,-5649812.38,1,False,2,29,
165.96,0,1314.1,4,0.39,8.91,0.76,105166.71,175538.09,137.49,-5636986.63,1,False,2,29,
166.72,0,1285.2,4,0.39,8.72,0.72,105946.18,176388.02,137.85,-5624001.25,1,False,2,29,
167.48,0,1256.31,4,0.39,8.54,0.68,106724.36,177232.6,138.22,-5610855.01,1,False,2,29,
168.24,0,1227.43,4,0.38,8.35,0.65,107501.2,178071.77,138.58,-5597546.55,1,False,2,29,
169,0,1198.55,4,0.38,8.17,0.62,108276.67,178905.63,138.94,-5584074.51,1,False,2,29,
169.76,0,1169.68,4,0.38,7.99,0.59,109050.73,179734.2,139.3,-5570437.49,1,False,2,29,
170.52,0,1140.82,4,0.37,7.82,0.56,109823.33,180557.47,139.67,-5556634.05,1,False,2,29,
171.28,0,1111.97,4,0.37,7.64,0.53,110594.44,181375.44,140.03,-5542662.66,1,False,2,29,
172.04,0,1083.12,4,0.37,7.47,0.51,111364.02,182188.15,140.4,-5528521.82,1,False,2,29,
172.8,0,1054.28,4,0.36,7.3,0.48,112132.04,182995.73,140.77,-5514209.97,1,False,2,29,
173.56,0,1025.44,4,0.36,7.12,0.46,112898.45,183798.11,141.14,-5499725.43,1,False,2,29,
174.32,0,996.62,4,0.36,6.96,0.43,113663.22,184595.38,141.51,-5485066.5,1,False,2,29,
175.08,0,967.8,4,0.35,6.79,0.41,114426.31,185387.68,141.88,-5470231.46,1,False,2,29,
