Apoapsis,200km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
72.32,0,1497.34,2.34,1,35.53,16.36,18595.66,35241.83,64.8,-566010.95,1,False,2,21,
72.86,0,1485.47,2.35,1,35.04,15.77,18875.7,35660.17,65.2,-565150.97,1,False,2,21,
73.4,0,1473.56,2.36,1,34.58,15.2,19156.37,36080.01,65.6,-564269.36,1,False,2,21,
73.94,0,1461.61,2.37,1,34.14,14.65,19437.65,36501.71,66,-563365.71,1,False,2,21,
74.48,0,1449.61,2.38,1,33.7,14.12,19719.54,36925.47,66.41,-562439.64,1,False,2,21,
75.02,0,1437.57,2.39,1,33.28,13.61,20002.02,37351.46,66.83,-561490.72,1,False,2,21,
75.56,0,1425.49,2.4,1,32.84,13.11,20285.1,37779.83,67.25,-560518.56,1,False,2,21,
76.1,0,1413.36,2.41,1,32.44,12.65,20568.76,38210.69,67.68,-559522.71,1,False,2,21,
76.64,0,1401.19,2.42,1,32.03,12.2,20853.01,38644.1,68.12,-558502.69,1,False,2,21,
77.18,0,1388.98,2.44,1,31.63,11.76,21137.83,39080.12,68.56,-557457.99,1,False,2,21,
77.7,0,1376.71,2.45,1,31.22,11.34,21423.23,39518.79,69.01,-556388.09,1,False,2,21,
78.26,0,1364.41,2.46,1,30.82,10.92,21709.2,39960.14,69.47,-555292.45,1,False,2,21,
78.8,0,1352.05,2.47,1,30.4,10.51,21995.74,40404.19,69.93,-554170.52,1,False,2,21,
79.34,0,1339.65,2.48,1,30,10.13,22282.83,40850.95,70.41,-553021.72,1,False,2,21,
79.88,0,1327.21,2.49,1,29.61,9.75,22570.48,41300.47,70.89,-551845.48,1,False,2,21,
80.42,0,1314.72,2.51,1,29.21,9.4,22858.68,41752.77,71.38,-550641.21,1,False,2,21,
80.96,0,1302.18,2.52,1,28.83,9.06,23147.42,42207.9,71.87,-549408.32,1,False,2,21,
81.5,0,1289.59,2.53,1,28.44,8.73,23436.7,42665.82,72.38,-548146.16,1,False,2,21,
82.04,0,1276.95,2.54,1,28.04,8.41,23726.5,43126.54,72.89,-546854.05,1,False,2,21,
