Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
95.64,0,515.69,3.01,0.72,22.96,5.71,27661.86,49900.47,82.98,-513607.86,0,1,False,2,18,
96.2,0,500.59,3.01,0.71,22.58,5.49,27965.35,50504.35,83.89,-511394.11,0,1,False,2,18,
96.78,0,485.5,3.01,0.71,22.2,5.27,28269.59,51111.76,84.82,-509134.34,0,1,False,2,18,
97.34,0,470.43,3.01,0.7,21.83,5.07,28574.57,51722.79,85.76,-506827.8,0,1,False,2,18,
97.88,0,455.37,3.01,0.7,21.45,4.87,28880.24,52337.55,86.72,-504473.72,0,1,False,2,18,
98.46,0,440.33,3.01,0.7,21.07,4.68,29186.58,52956.17,87.69,-502071.34,0,1,False,2,18,
99,0,425.31,3.01,0.69,20.7,4.5,29493.56,53578.76,88.68,-499619.88,0,1,False,2,18,
99.58,0,410.3,3.01,0.69,20.33,4.32,29801.15,54205.45,89.68,-497118.56,0,1,False,2,18,
100.14,0,395.3,3.01,0.69,19.95,4.15,30109.32,54836.37,90.71,-494566.61,0,1,False,2,18,
100.7,0,380.32,3.01,0.68,19.58,3.99,30418.05,55471.65,91.75,-491963.22,0,1,False,2,18,
101.24,0,365.35,3.01,0.68,19.22,3.84,30727.3,56111.34,92.81,-489307.5,0,1,False,2,18,
101.82,0,350.4,3.01,0.67,18.88,3.7,31037.05,56754.66,93.89,-486597.81,0,1,False,2,18,
102.36,0,335.46,3.01,0.67,18.59,3.56,31347.3,57404.75,94.99,-483835.24,0,1,False,2,18,
102.92,0,320.54,3.01,0.67,18.34,3.42,31658.01,58063.51,96.12,-481019.91,0,1,False,2,18,
103.5,0,305.63,3.01,0.66,18.1,3.29,31969.17,58731.29,97.28,-478150.92,0,1,False,2,18,
104.04,0,290.74,3.01,0.66,17.86,3.17,32280.79,59408.43,98.48,-475227.4,0,1,False,2,18,
104.62,0,275.87,3.01,0.66,17.63,3.06,32592.84,60095.41,99.7,-472248.58,0,1,False,2,18,
105.16,0,261,3.01,0.65,17.41,2.94,32905.33,60792.74,100.96,-469213.69,0,1,False,2,18,
105.74,0,246.16,3.01,0.65,17.19,2.83,33218.26,61500.95,102.25,-466121.89,0,1,False,2,18,
106.3,0,231.32,3.01,0.65,16.98,2.73,33531.61,62220.57,103.58,-462972.3,0,1,False,2,18,
106.86,0,216.5,3.01,0.64,16.77,2.62,33845.39,62952.13,104.95,-459764.02,0,1,False,2,18,
107.4,0,201.7,3.01,0.64,16.56,2.52,34159.59,63696.2,106.36,-456496.11,0,1,False,2,18,
107.96,0,186.91,3.01,0.64,15.98,2.43,34474.12,64476.96,107.86,-453187.13,0,1,False,2,18,
108.52,0,172.14,3.01,0.63,14.97,2.33,34788.91,65215.31,109.29,-449780.05,0,1,False,2,18,
109.1,0,157.38,3.01,0.63,14.36,2.24,35104.01,65943.17,110.73,-446297.87,0,1,False,2,18,
109.66,0,142.63,3.01,0.62,13.96,2.16,35419.31,66683.75,112.22,-442752.68,0,1,False,2,18,
110.2,0,127.9,3.01,0.62,13.59,2.07,35734.73,67435.51,113.74,-439141.32,0,1,False,2,18,
110.76,0,113.19,3.01,0.62,13.22,1.99,36050.25,68196.22,115.31,-435460.88,0,1,False,2,18,
111.42,0,96.39,3.01,0.61,12.82,1.9,36410.92,69071.69,117.14,-431164.74,0,1,False,2,18,
112.08,0,79.08,3.01,0.61,13.37,1.82,36783.14,69960.91,119.04,-426617.66,0,1,False,2,18,
112.74,0,61.36,2.97,0.6,15.14,1.73,37167.16,70984.43,121.23,-421900.74,0,1,False,2,18,
113.4,0,44.55,2.89,0.58,17.19,1.66,37540.58,72078.5,123.55,-417383.09,0,1,False,2,18,
114.08,0,28.19,2.82,0.56,19.21,1.58,37915.01,73262.48,126.04,-412951.55,0,1,False,2,18,
114.74,0,12.32,2.73,0.54,20.96,1.52,38290.73,74532.83,128.68,-408634.84,0,1,False,2,18,
115.42,0,0,0,0.01,21.75,1.45,38679.15,75563.22,130.65,-405350.56,0,1,True,2,18,
116.06,0,0,0,0.01,22.14,1.37,39043.72,75665.65,130.23,-405155.95,0,2,True,2,8,
116.66,0,0,0,0.01,22.05,1.3,39383.92,75628.01,129.53,-405279.3,0,2,True,2,8,
117.26,0,0,0,0.01,21.85,1.23,39722.37,75592.78,128.84,-405395.97,0,2,True,2,8,
117.86,0,0,0,0.01,21.71,1.17,40059.1,75559.79,128.15,-405506.35,0,2,True,2,8,
118.46,0,0,0,0.01,21.61,1.11,40394.11,75528.83,127.47,-405611,0,2,True,2,8,
119.06,0,0,0,0.01,21.53,1.05,40727.41,75499.76,126.8,-405710.34,0,2,True,2,8,
119.66,0,0,0,0.01,21.43,1,41058.99,75472.45,126.12,-405804.67,0,2,True,2,8,
120.16,0,1239.1,0.01,0.01,21.35,0.95,41344.97,75450.38,125.54,-405881.65,0,2,True,2,8,
120.7,0,1238.88,0.14,0.13,21.27,0.91,41629.7,75449,125.02,-405886.73,0,2,True,2,8,
121.28,0,1237.7,0.34,0.33,21.12,0.87,41956.79,75525.35,124.62,-405625.06,0,2,False,2,8,
121.78,0,1235.91,0.51,0.5,18.66,0.84,42228.21,75664.56,124.49,-405192.74,0,2,False,2,8,
122.3,0,1233.39,0.68,0.67,13.41,0.81,42498.64,75826.04,124.44,-404520.16,0,2,False,2,8,
122.8,0,1230.14,0.85,0.83,9.28,0.78,42768.27,75985.9,124.45,-403597.39,0,2,False,2,8,
123.3,0,1226.15,1.03,1,7.18,0.75,43037.12,76164.7,124.54,-402436.29,0,2,False,2,8,
123.82,0,1221.57,1.03,1,6.15,0.72,43315.8,76364.47,124.69,-401097.42,0,2,False,2,8,
124.34,0,1216.98,1.03,1,5.45,0.69,43593.47,76561.1,124.84,-399745.24,0,2,False,2,8,
124.86,0,1212.39,1.03,1,4.8,0.67,43870.09,76753.2,124.99,-398379.11,0,2,False,2,8,
125.36,0,1207.8,1.04,1,4.24,0.64,44145.64,76939.77,125.13,-396998.71,0,2,False,2,8,
125.9,0,1203.2,1.04,1,3.9,0.62,44420.13,77123.07,125.26,-395604.7,0,2,False,2,8,
126.4,0,1198.59,1.04,1,3.74,0.6,44693.53,77306.21,125.41,-394197.82,0,2,False,2,8,
126.92,0,1193.98,1.04,1,3.7,0.58,44965.86,77490.81,125.56,-392778.39,0,2,False,2,8,
127.46,0,1189.37,1.04,1,3.72,0.55,45237.1,77677.54,125.71,-391346.53,0,2,False,2,8,
127.96,0,1184.75,1.05,1,3.77,0.53,45507.29,77866.7,125.88,-389902.26,0,2,False,2,8,
128.52,0,1179.57,1.03,0.98,3.84,0.51,45797.07,78071.95,126.07,-388343.24,0,2,False,2,8,
129.12,0,1174.83,0.99,0.94,3.94,0.49,46095.93,78279.54,126.25,-386773.22,0,2,False,2,8,
129.7,0,1170.07,0.95,0.9,4.04,0.47,46393.49,78481.04,126.4,-385255.88,0,2,False,2,8,
130.26,0,1165.5,0.91,0.86,4.15,0.45,46689.77,78676.08,126.54,-383793.14,0,2,False,2,8,
130.86,0,1161.13,0.87,0.82,4.25,0.43,46984.77,78864.25,126.64,-382386.84,0,2,False,2,8,
131.44,0,1156.97,0.83,0.78,4.34,0.42,47278.5,79045.1,126.73,-381038.78,0,2,False,2,8,
132.02,0,1153,0.79,0.74,4.43,0.4,47570.98,79218.22,126.79,-379750.7,0,2,False,2,8,
132.6,0,1149.25,0.75,0.7,4.51,0.38,47862.19,79383.18,126.81,-378524.28,0,2,False,2,8,
133.18,0,1145.69,0.7,0.66,4.58,0.37,48152.14,79539.61,126.81,-377361.14,0,2,False,2,8,
133.76,0,1142.27,0.7,0.66,4.64,0.35,48440.84,79691.79,126.8,-376230.39,0,2,False,2,8,
134.34,0,1138.85,0.7,0.66,4.69,0.34,48728.3,79845.01,126.78,-375094.41,0,2,False,2,8,
